employee_id,name,last_name,first_name,email,organization,department,position,reports_to,assistant_to,birth_date,birth_country,gender,citizenship_country,employment_start_date,military_service_branch,military_discharge_type,sent_count,received_count,total_email_activity,top_email_topics,is_executive,is_manager,is_security_related,is_missing_status,source_files,source_note
Mat_Bramar,Mat Bramar,Bramar,Mat,Mat.Bramar@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to CEO,Sten Sanjorge Jr.,CEO,1981-12-19,Tethys,Male,Tethys,2005-07-01,,,41,199,240,general(212); vip_visit(11); social(9); policy(8),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Anda_Ribera,Anda Ribera,Ribera,Anda,Anda.Ribera@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to CFO,Ingrid Barranco,CFO,1975-11-17,Tethys,Female,Tethys,2009-10-30,,,25,204,229,general(204); social(10); vip_visit(9); policy(6),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Rachel_Pantanal,Rachel Pantanal,Pantanal,Rachel,Rachel.Pantanal@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to CIO,Ada Campo-Corrente,CIO,1984-08-22,Tethys,Female,Tethys,2013-10-01,,,25,210,235,general(203); social(10); vip_visit(9); policy(6); file_sharing(4),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Linda_Lagos,Linda Lagos,Lagos,Linda,Linda.Lagos@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to COO,Orhan Strum,COO,1980-01-26,Tethys,Female,Tethys,2010-02-01,,,19,196,215,general(192); vip_visit(9); social(8); policy(6),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Ruscella_Mies_Haber,Ruscella Mies Haber,Mies Haber,Ruscella,Ruscella.Mies.Haber@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to Engineering Group Manager,,Engineering Group Manager,1964-04-26,Kronos,Female,Kronos,2003-04-02,ArmedForcesOfKronos,HonorableDischarge,29,212,241,general(215); social(10); vip_visit(10); policy(6),no,yes,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Carla_Forluniau,Carla Forluniau,Forluniau,Carla,Carla.Forluniau@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to IT Group Manager,,IT Group Manager,1981-06-02,Kronos,Female,Kronos,2005-03-07,ArmedForcesOfKronos,GeneralDischarge,25,199,224,general(200); vip_visit(10); social(8); policy(6),no,yes,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Cornelia_Lais,Cornelia Lais,Lais,Cornelia,Cornelia.Lais@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to Security Group Manager,,Security Group Manager,1991-07-07,Kronos,Female,Kronos,2011-12-22,ArmedForcesOfKronos,GeneralDischarge,26,200,226,general(201); vip_visit(10); social(9); policy(6),no,yes,yes,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Marin_Onda,Marin Onda,Onda,Marin,Marin.Onda@gastech.com.kronos,GAStech-Kronos,Engineering,Drill Site Manager,Lidelse Dedos,,1969-12-31,Tethys,Male,Tethys,2003-04-13,,,9,156,165,general(121); technical(24); vip_visit(8); policy(6); file_sharing(4),no,yes,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Isande_Borrasca,Isande Borrasca,Borrasca,Isande,Isande.Borrasca@gastech.com.kronos,GAStech-Kronos,Engineering,Drill Technician,Lidelse Dedos,,1979-10-22,Tethys,Female,Tethys,2004-02-18,,,15,147,162,general(113); technical(34); vip_visit(7); policy(6); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Axel_Calzas,Axel Calzas,Calzas,Axel,Axel.Calzas@gastech.com.kronos,GAStech-Kronos,Engineering,Drill Technician,Lidelse Dedos,,1975-09-13,Tethys,Male,Tethys,1997-07-17,,,22,176,198,general(144); technical(39); vip_visit(7); policy(6); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
