edge_id,source,target,source_label,target_label,relation_type,weight,evidence_type,evidence_id,date,description,confidence,source_file,quote_or_note
E00001,GAStech,Kronos_Government,GAStech,Kronos Government,official_cooperation,1,news,496,1984-05-05,长期商业合作与政府支持,high,relationships.csv,e the great volumes of gas coast outside that could be extracted. Sanjorge and GAStech were granted to three licenses by the government of Kronos the month last through the ministry of the energy and the development and hopes to begin the exploration soon
E00002,GAStech,Kronos_Government,GAStech,Kronos Government,official_cooperation,1,news,666,1993-03-12,长期商业合作与政府支持,medium,relationships.csv,"Government Strikes Deal with GAStech International President Araullo today announced the signing of an agreement between his government and the Tethys-based GAStech International for the development of the Tiskele Bend gas fields. GAStech, under the leadership of visionary Sten Sanjorge... President"
E00003,GAStech,Kronos_Government,GAStech,Kronos Government,official_cooperation,1,news,723,1993-09-21,长期商业合作与政府支持,medium,relationships.csv,"BILA As she leaves from the government brokered distribution with international GAStech, Abila must make improvements to their deep port. When one hopes that the inclines of the production of the gas for above, the traffic of the port increases... As she leaves from the government brokered distribut"
E00004,GAStech,POK,GAStech,POK,opposition,1,news,273,2001-08-30,环保抗议与设施冲突,high,relationships.csv,"Traffic Near Tiskele Bend Fields Five young people were arrested yesterday for protesting near the entrance to the Tiskele Bend fields as they called for government action to address their environmental concerns about GAStech's operations at the site. The protestors,... Five young people were arrest"
E00005,GAStech,POK,GAStech,POK,opposition,1,news,658,2001-08-31,环保抗议与设施冲突,medium,relationships.csv,avies obstructed the free speech - yet again - of members of the activist group Protectors of Kronos yesterday at a lawful demonstration at the Tiskele Bend fields. The five POK activists had gathered in front of the gates to... Government heavies obstructed the free speech - yet again - of members 
E00006,GAStech,POK,GAStech,POK,opposition,1,news,221,2005-04-05,环保抗议与设施冲突,medium,relationships.csv,POK PROTESTS END IN ARRESTS Fifteen members of the Protectors of Kronos (POK) activist organization were arrested by Kronos federal police yesterday following an dispute at the gates of the Tiskele Bend GAStech facility. Protesters arrived pre-dawn to lock arms and... Fifteen members of the Protecto
E00007,POK,Kronos_Government,POK,Kronos Government,opposition,1,news,273,2001-08-30,抗议者被逮捕、被定性为罪犯,high,relationships.csv,"Activists Disrupt Traffic Near Tiskele Bend Fields Five young people were arrested yesterday for protesting near the entrance to the Tiskele Bend fields as they called for government action to address their environmental concerns about GAStech's operations at the site. The protestors,... Five young "
E00008,POK,Kronos_Government,POK,Kronos Government,opposition,1,news,658,2001-08-31,抗议者被逮捕、被定性为罪犯,medium,relationships.csv,POK MEMBERS ARRESTED Government heavies obstructed the free speech - yet again - of members of the activist group Protectors of Kronos yesterday at a lawful demonstration at the Tiskele Bend fields. The five POK activists had gathered in front of the gates to... Government heavies obstructed the fre
E00009,POK,Kronos_Government,POK,Kronos Government,opposition,1,news,22,2001-09-02,抗议者被逮捕、被定性为罪犯,medium,relationships.csv,THE MEMBERS OF POK ARRESTED Heavies of the government obstructed the free speech - yet again - of the members of the protectors of the group of the activist of Kronos yesterday in a legal demonstration in the fields of the curve of Tiskele. The five activists of POK... Heavies of the government obst
E00010,Asterian_Peoples_Army,GAStech,APA / Asterian People's Army,GAStech,hostility,1,news,141,2009-02-21,绑架风险与恐怖活动关联,high,relationships.csv,n to the complaints of the environmental damage made more damage. The gathering apart from international registered offices of GAStech had like consequence of the multiple arrests for the... A gathering of POK conceived to give the attention to the complaints of the environmental damage made more da
E00011,Asterian_Peoples_Army,GAStech,APA / Asterian People's Army,GAStech,hostility,1,news,460,2014-01-21,绑架风险与恐怖活动关联,medium,relationships.csv,"employees has not been sent. Juan Rathburn, American expert in the executive kidnappings that are living in Tethys, says that Kronos has not been known as country archetype for the kidnapping. ""Nevertheless, the increasing activity by POK, APA [army of people of Asterian], and others in the region h"
E00012,Asterian_Peoples_Army,GAStech,APA / Asterian People's Army,GAStech,hostility,1,news,507,2014-01-20,绑架风险与恐怖活动关联,medium,relationships.csv,to the clock in order assessing employ to you of GAStech are found and that the kidnappers they are capacities to justice.
E00013,POK,Asterian_Peoples_Army,POK,APA / Asterian People's Army,indirect_association,1,news,141,2009-02-21,同为激进组织但目标与手段不同,high,relationships.csv,REGISTERED OFFICES OF GASTECH BLOCKED BY POK A gathering of POK conceived to give the attention to the complaints of the environmental damage made more damage. The gathering apart from international registered offices of GAStech had like consequence of the multiple arrests for the... A gathering of 
E00014,POK,Asterian_Peoples_Army,POK,APA / Asterian People's Army,indirect_association,1,news,387,2009-06-23,同为激进组织但目标与手段不同,medium,relationships.csv,"He heard that the prices of food in Abila are really high."" Nevertheless, its capacity to hook in last instance with the intimidated government of Kronos never had been clear. She is also confused who will now take its layer in the POK goes that it."
E00015,POK,Asterian_Peoples_Army,POK,APA / Asterian People's Army,indirect_association,1,news,460,2014-01-21,同为激进组织但目标与手段不同,medium,relationships.csv,"country archetype for the kidnapping. ""Nevertheless, the increasing activity by POK, APA [army of people of Asterian], and others in the region have increased perceivably the risk."" The corresponding times i"
E00016,Sten_Sanjorge,President_Kapelou,Sten Sanjorge,President Kapelou,official_meeting,1,news,174,2014-01-19,IPO 后政府接待与高层互动,high,relationships.csv,"Barranco, Ada Campo-Corrente, Orhan Strum, and Willem Vasco-Pais will attend a reception with government officials tomorrow following a business meeting at their headquarters building. Government spokesman... Local GAStech executives Ingrid Barranco, Ada Campo-Corrente, Orhan Strum, and Willem Vasco"
E00017,Sten_Sanjorge,President_Kapelou,Sten Sanjorge,President Kapelou,official_meeting,1,news,169,2014-01-20,IPO 后政府接待与高层互动,medium,relationships.csv,"ronos Government official who asked not to be identified but was present at the government reception has gone on the record stating, ""Investigators are working around the clock to ensure that the kidnapped GAStech... 202"
