node_id,label,node_type,group,importance,email,organization,department,position,date,stance_label,map_x_norm,map_y_norm,source_files,source_note
Dept_Administration,Administration,department,GAStech department,3,,GAStech-Kronos,,,,,,,EmployeeRecords.xlsx; GAStechKronos-org-chart.pdf,
Dept_Engineering,Engineering,department,GAStech department,3,,GAStech-Kronos,,,,,,,EmployeeRecords.xlsx; GAStechKronos-org-chart.pdf,
Dept_Executive,Executive,department,GAStech department,3,,GAStech-Kronos,,,,,,,EmployeeRecords.xlsx; GAStechKronos-org-chart.pdf,
Dept_Facilities,Facilities,department,GAStech department,3,,GAStech-Kronos,,,,,,,EmployeeRecords.xlsx; GAStechKronos-org-chart.pdf,
Dept_Information_Technology,Information Technology,department,GAStech department,3,,GAStech-Kronos,,,,,,,EmployeeRecords.xlsx; GAStechKronos-org-chart.pdf,
Dept_Security,Security,department,GAStech department,3,,GAStech-Kronos,,,,,,,EmployeeRecords.xlsx; GAStechKronos-org-chart.pdf,
Event_ANCHOR_04,Elian Karel 死亡引发 Abila 骚乱,event,anchor_event,5,,,,,2009-06-20,,,,anchor_events.csv,POK 领袖之死成为运动象征，抗议升级为暴力冲突
Event_ANCHOR_02,Elodis 环境污染系列报道启动,event,anchor_event,5,,,,,1998-03-19,,,,anchor_events.csv,揭示 GAStech 运营与 Elodis 儿童患病、农作物减产之间的关联
Event_ANCHOR_06,GAStech IPO，Sanjorge 成为巨富,event,anchor_event,5,,,,,2013-12-18,,,,anchor_events.csv,商业利益集中爆发，为后续矛盾激化提供背景
Event_ANCHOR_07,GAStech 与 Kronos 庆祝合作 20 周年,event,anchor_event,5,,,,,2014-01-19,,,,anchor_events.csv,IPO 后政府接待安排，绑架事件直接导火索
Event_ANCHOR_08,GAStech 高管失踪/绑架，POK 被指认,event,anchor_event,5,,,,,2014-01-20,,,,anchor_events.csv,全案高潮：14 名员工被绑，POK 发赎金要求，APA 亦被提及
Event_ANCHOR_05,Kapelou 总统称 POK 为「罪犯集团」,event,anchor_event,5,,,,,2012-06-22,,,,anchor_events.csv,政府公开定性 POK，预示后续强硬执法
Event_ANCHOR_03,POK 在 GAStech 总部抗议，多人被捕,event,anchor_event,5,,,,,2009-02-18,,,,anchor_events.csv,环保诉求与 GAStech 正面冲突；政府下令加强未来 POK 集会安保
Event_ANCHOR_01,政府与 GAStech 签署 Tiskele 气田开发协议,event,anchor_event,5,,,,,1993-03-12,,,,anchor_events.csv,奠定 GAStech 在 Kronos 的合法经营基础与政府深度绑定
Abila,Abila,location,Kronos,5.0,,Kronos,,,,,0.56,0.69,entities.csv,news_mentions=353; email_mentions=0
Centrum,Centrum,location,Kronos,3.0,,Kronos,,,,,,,entities.csv,news_mentions=30; email_mentions=0
Elodis,Elodis,location,Kronos,5.0,,Kronos,,,,,0.45,0.65,entities.csv,news_mentions=193; email_mentions=0
Tethys,Tethys,location,Kronos,5.0,,Kronos,,,,,0.23,0.24,entities.csv,news_mentions=147; email_mentions=4
Kronos,Kronos,location,country,5,,,,,,,0.52,0.56,A Map of Kronos.jpg; FACTBOOK-Kronos.docx,虚构岛国；地图主岛；天然气、农业、环境污染与贫困背景。
Tiskele_Bend,Tiskele Bend,location,gas_field,4,,,,,,,,,articles_lite.csv; anchor_events.csv,GAStech天然气开发/设施相关地点。
Media_All_News_Today,All News Today,media,aggregator,2,,,,,,偏受害者/质疑政府,,,sources.csv; media_stance.csv,aggregator; 中等偏低：聚合源，需追溯原始来源
Media_News_Desk,News Desk,media,aggregator,2,,,,,,独立/事件导向,,,sources.csv; media_stance.csv,aggregator; 中等偏低：聚合源，需追溯原始来源
Media_News_Online_Today,News Online Today,media,aggregator,2,,,,,,聚合/中性偏转载,,,sources.csv; media_stance.csv,aggregator; 中等偏低：聚合源，需追溯原始来源
Media_International_News,International News,media,derivative_international,2,,,,,,国际衍生/确定性升级风险,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_International_Times,International Times,media,derivative_international,2,,,,,,国际衍生/标题升级风险,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_The_Continent,The Continent,media,derivative_international,2,,,,,,国际衍生/需追溯原始来源,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_The_Explainer,The Explainer,media,derivative_international,2,,,,,,国际衍生/需追溯原始来源,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_The_Guide,The Guide,media,derivative_international,2,,,,,,商业/秩序框架偏强,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_The_Light_of_Truth,The Light of Truth,media,derivative_international,2,,,,,,偏POK/反政府,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_The_Orb,The Orb,media,derivative_international,2,,,,,,国际衍生/需追溯原始来源,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_The_Truth,The Truth,media,derivative_international,2,,,,,,国际衍生/需追溯原始来源,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_The_Tulip,The Tulip,media,derivative_international,2,,,,,,国际衍生/需追溯原始来源,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_The_World,The World,media,derivative_international,2,,,,,,国际中性/商业事件导向,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_The_Wrap,The Wrap,media,derivative_international,2,,,,,,质疑/事件调查倾向,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_Who_What_News,Who What News,media,derivative_international,2,,,,,,偏POK同情/人物视角,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_World_Journal,World Journal,media,derivative_international,2,,,,,,国际衍生/转述,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_World_Source,World Source,media,derivative_international,2,,,,,,国际衍生/需追溯原始来源,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_Worldwise,Worldwise,media,derivative_international,2,,,,,,国际衍生/翻译偏移,,,sources.csv; media_stance.csv,derivative_international; 较低到中等：国际转载/翻译源，需检查语义偏移
Media_Centrum_Sentinel,Centrum Sentinel,media,primary_institutional,2,,,,,,偏机构/商业视角,,,sources.csv; media_stance.csv,primary_institutional; 中等：机构/公司/母国口径，需注意利益立场
Media_Tethys_News,Tethys News,media,primary_institutional,2,,,,,,偏GAStech/Tethys视角,,,sources.csv; media_stance.csv,primary_institutional; 中等：机构/公司/母国口径，需注意利益立场
Media_Athena_Speaks,Athena Speaks,media,primary_local,2,,,,,,偏POK同情/公民权益,,,sources.csv; media_stance.csv,primary_local; 较高：本地一手报道，但可能有政治立场
Media_Central_Bulletin,Central Bulletin,media,primary_local,2,,,,,,亲政府/建制倾向,,,sources.csv; media_stance.csv,primary_local; 较高：本地一手报道，但可能有政治立场
Media_Daily_Pegasus,Daily Pegasus,media,primary_local,2,,,,,,本地一手/待人工复核,,,sources.csv; media_stance.csv,primary_local; 较高：本地一手报道，但可能有政治立场
Media_Everyday_News,Everyday News,media,primary_local,2,,,,,,本地一手/待人工复核,,,sources.csv; media_stance.csv,primary_local; 较高：本地一手报道，但可能有政治立场
Media_Homeland_Illumination,Homeland Illumination,media,primary_local,2,,,,,,环境调查/同情受害者,,,sources.csv; media_stance.csv,primary_local; 较高：本地一手报道，但可能有政治立场
Media_Kronos_Star,Kronos Star,media,primary_local,2,,,,,,本地主流/偏政府秩序框架,,,sources.csv; media_stance.csv,primary_local; 较高：本地一手报道，但可能有政治立场
Media_Modern_Rubicon,Modern Rubicon,media,primary_local,2,,,,,,本地一手/待人工复核,,,sources.csv; media_stance.csv,primary_local; 较高：本地一手报道，但可能有政治立场
Media_The_Abila_Post,The Abila Post,media,primary_local,2,,,,,,本地一手/较平衡,,,sources.csv; media_stance.csv,primary_local; 较高：本地一手报道，但可能有政治立场
Media_The_General_Post,The General Post,media,primary_local,2,,,,,,本地一手/待人工复核,,,sources.csv; media_stance.csv,primary_local; 较高：本地一手报道，但可能有政治立场
Asterian_Peoples_Army,APA / Asterian People's Army,organization,armed_group,4,,,,,,,,,relationships.csv; FACTBOOK-Kronos.docx; FACTBOOK-Tethys.docx,Regional paramilitary/security risk; explicitly separated from Abila Police.
GAStech,GAStech,organization,company,5.0,,GAStech,,,,,,,relationships.csv; FACTBOOK-Kronos.docx; FACTBOOK-Tethys.docx,Energy company operating in Kronos; largest employer in local setting.
GAStech_Kronos,GAStech-Kronos,organization,company_branch,4,,,,,,,,,relationships.csv; FACTBOOK-Kronos.docx; FACTBOOK-Tethys.docx,Kronos branch of GAStech.
Tethys_GAStech_HQ,GAStech-Tethys/HQ,organization,company_hq,3,,,,,,,,,relationships.csv; FACTBOOK-Kronos.docx; FACTBOOK-Tethys.docx,Tethys headquarters context.
Kronos_Government,Kronos Government,organization,government,5,,,,,,,,,relationships.csv; FACTBOOK-Kronos.docx; FACTBOOK-Tethys.docx,"Government/regulatory actor; connected to GAStech via permits, taxes and reception."
Abila_Police,Abila Police,organization,law_enforcement,4,,,,,,,,,relationships.csv; FACTBOOK-Kronos.docx; FACTBOOK-Tethys.docx,Law enforcement actor in Abila; explicitly separated from Asterian People's Army.
POK,POK / Protectors of Kronos,organization,protest_movement,5.0,,POK,,,,,,,relationships.csv; FACTBOOK-Kronos.docx; FACTBOOK-Tethys.docx,Grassroots protest movement opposing GAStech and government corruption.
Anda_Ribera,Anda Ribera,person,Administration,4,Anda.Ribera@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to CFO,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Carla_Forluniau,Carla Forluniau,person,Administration,4,Carla.Forluniau@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to IT Group Manager,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Cornelia_Lais,Cornelia Lais,person,Administration,4,Cornelia.Lais@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to Security Group Manager,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Linda_Lagos,Linda Lagos,person,Administration,4,Linda.Lagos@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to COO,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Mat_Bramar,Mat Bramar,person,Administration,4,Mat.Bramar@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to CEO,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
